0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'DJ Flex Luthor', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'Mary Kate', 'DJ Pup', 'Nikhil', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'haley', 'ameena', 'Dylan Fox', 'Captain Ahab', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'Henry', 'DJ Ringworm', 'DJ WaveyCat', 'DJ Breezy', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Horsewater', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Number 6', 'Mike Hunter'}","{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'Mary Kate', 'DJ Pup', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'haley', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'Henry', 'DJ Ringworm', 'DJ WaveyCat', 'DJ Breezy', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Horsewater', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}","{'Number 6', 'Mike Hunter'}","{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'Mary Kate', 'DJ Pup', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'Henry', 'DJ Ringworm', 'DJ WaveyCat', 'DJ Breezy', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Horsewater', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}","{'Number 6', 'Mike Hunter'}","{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'DJ Pup', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'Henry', 'DJ Ringworm', 'DJ WaveyCat', 'DJ Breezy', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Horsewater', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}","{'Number 6', 'Mike Hunter'}",{'Mary Kate'},"{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'DJ Pup', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'Henry', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Horsewater', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}","{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},"{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'DJ Pup', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Horsewater', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}","{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'DJ Pup', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'Krista', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'DJ Nem', 'sara', 'Freddie Furia', 'wired academic', 'Lili', 'PAX'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Krista'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'hanna', 'tomm', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'ameena', 'Dylan Fox', 'Grady', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Dante', 'Tim', 'Casey', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'sara', 'Freddie Furia', 'Lili', 'PAX'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Krista'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Lenca', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Dylan Fox', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Tim', 'Casey', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia', 'Lili'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Krista'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Jerry Gordon', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Dylan Fox', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Tim', 'Casey', 'DJ Ringworm', 'DJ WaveyCat', 'Pethie', 'CJ', 'Sonny Boy Williamson III', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia', 'Lili'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Tim', 'Casey', 'DJ Ringworm', 'Pethie', 'CJ', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia', 'Lili'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Tim', 'Casey', 'DJ Ringworm', 'Pethie', 'CJ', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},{'Lili'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'ROBO_Head, the AI DJ', 'Jen', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Casey', 'DJ Ringworm', 'Pethie', 'CJ', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},{'Lili'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Tim'},{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'Jen', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Casey', 'DJ Ringworm', 'Pethie', 'CJ', 'Dan Buskirk', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Horsewater'},{'Lili'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},"{'ROBO_Head, the AI DJ'}",{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Tim'},{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'Readie Righteous', 'Jen', 'Esoterica', 'Mike Lupica', 'Wilbo', 'Lizbot', 'Dan Ruccia', 'Andi', 'Anika', 'Paige', 'KPC', 'Adam from News and Culture // Methuselah Mouse', 'Jon Solomon', 'Commie Francis', 'John Tobias', 'Wax', 'Pat', 'Dana K', 'Casey', 'DJ Ringworm', 'Pethie', 'CJ', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Freddie Furia'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Dan Buskirk'},{'Horsewater'},{'Lili'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},"{'ROBO_Head, the AI DJ'}",{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Tim'},{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'CJ', 'Anika', 'Paige', 'Adam from News and Culture // Methuselah Mouse', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Casey', 'DJ Ringworm', 'Freddie Furia', 'Andi', 'John Tobias', 'Wax'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'Pethie', 'Readie Righteous', 'Pat', 'Dana K', 'Jen', 'KPC', 'Esoterica', 'Mike Lupica', 'Jon Solomon', 'Commie Francis', 'Wilbo', 'Lizbot', 'Dan Ruccia'}","{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Dan Buskirk'},{'Horsewater'},{'Lili'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},"{'ROBO_Head, the AI DJ'}",{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Tim'},{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'Paolo', 'Stitching Pink', 'CJ', 'Anika', 'Paige', 'Adam from News and Culture // Methuselah Mouse', 'ramona jade', 'Classy Murmur', 'DJ McSweden', 'Casey', 'DJ Ringworm', 'Freddie Furia', 'Andi', 'John Tobias', 'Wax'}","{'wired academic', 'DJ Nem'}",{'haley'},"{'Pethie', 'Readie Righteous', 'Pat', 'Dana K', 'KPC', 'Esoterica', 'Mike Lupica', 'Jon Solomon', 'Commie Francis', 'Wilbo', 'Lizbot', 'Dan Ruccia'}","{'hanna', 'Dante', 'tomm', 'ameena', 'Grady', 'sara', 'PAX'}","{'xenfoyel', 'Bernie King'}","{'Nikhil', 'DJ Flex Luthor', 'Captain Ahab'}",{'Dan Buskirk'},{'Horsewater'},{'Jen'},{'Lili'},"{'Number 6', 'Mike Hunter'}","{'Sonny Boy Williamson III', 'DJ WaveyCat', 'Dylan Fox', 'Jerry Gordon'}",{'Mary Kate'},"{'ROBO_Head, the AI DJ'}",{'DJ Breezy'},{'DJ Pup'},{'Henry'},"{'Selecta Jerry', 'Isadora'}",{'Tim'},{'Krista'},{'Lenca'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
